#beta = 1, M=50,  #  
          1        0.018021
   -0.808809        -0.0106224
    0.271127         0.0178426
   -0.223277        -0.0112598
    0.138667         0.0132302
  -0.0948128       -0.00904289
   0.0602122        0.00677206
  -0.0280888        -0.0056894
  0.00186765       0.000376695
   0.0180226       -0.00132357
  -0.0403137       -0.00504685
   0.0475819        0.00356716
  -0.0646888       -0.00843262
    0.061551         0.0071475
  -0.0741661        -0.0111446
   0.0643591        0.00845607
  -0.0726971        -0.0130375
   0.0596067        0.00741599
  -0.0634719        -0.0129424
   0.0500137        0.00519958
  -0.0504578        -0.0110925
   0.0384398        0.00214139
   -0.038735       -0.00931052
   0.0285485        0.00027517
  -0.0299873       -0.00661844
   0.0229446      -0.000574121
  -0.0247663       -0.00116185
   0.0219339       -0.00480648
  -0.0252637        0.00716163
   0.0241671         -0.013524
  -0.0264418         0.0177796
   0.0230081        -0.0272619
  -0.0253394         0.0341157
   0.0160963        -0.0496984
  -0.0192452         0.0626712
  0.00609642        -0.0883786
 -0.00714013          0.113474
 -0.00556129         -0.171428
  0.00670202          0.232267
  -0.0166895         -0.548919
    0.018021                 1
  -0.0245952         -0.607524
   0.0247281           0.23035
  -0.0273232         -0.173981
    0.026643           0.10607
  -0.0253172        -0.0805265
    0.024209         0.0523943
  -0.0203243        -0.0365173
   0.0180874         0.0249429
   -0.014519         -0.014327
   0.0108402         0.0116176
 -0.00833755       -0.00444726
  0.00562973        0.00400544
 -0.00347165        0.00334948
  0.00195393       -0.00317174
-0.000553191          0.010372
 0.000244344        -0.0100045
 0.000154838         0.0134088
 0.000807088        -0.0140601
 -0.00121539         0.0140924
  0.00258822        -0.0144596
 -0.00210726         0.0139264
  0.00329525        -0.0138677
 -0.00202801          0.013507
   0.0023047        -0.0125866
 -0.00108712         0.0119679
  0.00116195        -0.0107727
 -0.00115682        0.00936307
 0.000917845       -0.00948892
 -0.00196588        0.00682604
  0.00087393        -0.0093088
 -0.00234891        0.00585202
  0.00112755        -0.0097255
  -0.0027467        0.00589832
  0.00193446       -0.00976693
 -0.00318999        0.00704952
  0.00255909       -0.00911643
 -0.00418611        0.00878504
  0.00250138       -0.00685981
 -0.00466003        0.00943381

